Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-11-05 04:11:26.485 -0500,"Aborted",0:00:28,1,0,1,"20251105_041126.485/LogFile.txt","","",0
2025-11-05 04:12:09.732 -0500,"Aborted",0:00:15,1,0,1,"20251105_041209.732/LogFile.txt","","",0
2025-11-05 04:12:27.373 -0500,"Aborted",0:01:02,1,0,0,"20251105_041227.373/LogFile.txt","","",0
2025-11-05 04:16:20.705 -0500,"Aborted",0:00:34,1,0,0,"20251105_041620.705/LogFile.txt","","",0
2025-11-05 04:35:04.448 -0500,"Aborted",0:00:34,1,0,1,"20251105_043504.448/LogFile.txt","","",0
2025-11-05 04:39:18.556 -0500,"Aborted",0:00:12,1,0,1,"20251105_043918.556/LogFile.txt","","",0
2025-11-05 04:39:37.866 -0500,"Aborted",0:00:29,1,0,1,"20251105_043937.866/LogFile.txt","","",0
2025-11-05 04:41:42.755 -0500,"Aborted",0:01:01,1,0,1,"20251105_044142.755/LogFile.txt","","",0
2025-11-05 04:50:46.753 -0500,"Aborted",0:00:40,1,0,0,"20251105_045046.753/LogFile.txt","","",0
2025-11-05 04:53:14.943 -0500,"Aborted",0:00:23,1,0,1,"20251105_045314.943/LogFile.txt","","",0
2025-11-05 04:55:07.470 -0500,"Aborted",0:01:24,1,0,1,"20251105_045507.470/LogFile.txt","","",0
2025-11-05 05:00:40.497 -0500,"Aborted",0:00:53,1,0,1,"20251105_050040.497/LogFile.txt","","",0
2025-11-05 05:04:57.932 -0500,"Aborted",0:02:00,1,0,1,"20251105_050457.932/LogFile.txt","","",1
2025-11-05 05:07:05.539 -0500,"Failure",0:00:00,1,0,0,"20251105_050705.539/LogFile.txt","","SenseTalk Compiler Exception -- in return_optimized:\nSyntax Error at line 72: can't understand [matching quote not found] at character 28",0
2025-11-05 05:07:16.848 -0500,"Aborted",0:01:14,1,0,1,"20251105_050716.848/LogFile.txt","","",1
2025-11-05 05:09:32.791 -0500,"Aborted",0:01:16,1,0,1,"20251105_050932.791/LogFile.txt","","",1
2025-11-05 05:14:49.729 -0500,"Success",0:02:41,0,0,0,"20251105_051449.729/LogFile.txt","","",2
